mcSEED_subsystem	name	alt_names	functional_role_description	dupl_subsystem		functional_role_type	database_classification	additional_classification	function_description	regulon	example_mcSEED_id	example_locus_tag	evidence	evidence_info	reference
HMO utilization	FumD	FclB	L-fuconolactone hydrolase-1 (EC 3.1.1.-)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 3.1.1.-	NA	Predicted to convert L-fuconolactone to L-fuconate	FumR	fig|1679.217.peg.678	BLNG_01260	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium longum subsp. longum SC596 is upregulated during growth on 2'FL, 3FL, HMO mixture. Gene in Bifidobacterium catenulatum subsp. kashiwanohense APCKJ1 is upregulated during growth on 2'FL. Gene in Bifidobacterium pseudocatenulatum MP80 is upregulated during growth on 2'FL and LNFP I	27756904;31659215;34757822
HMO utilization	FumE	FclC	L-fuconate dehydratase-1 (EC 4.2.1.68)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 4.2.1.68	NA	Converts L-fuconate to 2-keto-3-deoxy-L-fuconate	FumR	fig|1679.217.peg.676	BLNG_01258	homology_with_characterized	56% amino acid sequence identity with characterized L-fuconate dehydratase from Xanthomonas campestris pv. campestris. Gene in Bifidobacterium longum subsp. longum SC596 is upregulated during growth on 2'FL, 3FL, HMO mixture. Gene in Bifidobacterium catenulatum subsp. kashiwanohense APCKJ1 is upregulated during growth on 2'FL. Gene in Bifidobacterium pseudocatenulatum MP80 is upregulated during growth on 2'FL and LNFP I	17144652;27756904;31659215;34757822
HMO utilization	FumF	FclE	2-keto-3-deoxy-L-fuconate aldolase-1 (EC 4.1.2.18)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 4.1.2.18	NA	Predicted to cleave 2-keto-3-deoxy-L-fuconate to pyruvate and L-lactaldehyde	FumR	fig|1679.217.peg.679	BLNG_01261	predicted_previously	Function was suggested previously in the literature. Gene in Bifidobacterium longum subsp. longum SC596 is upregulated during growth on 2'FL, 3FL, HMO mixture. Gene in Bifidobacterium catenulatum subsp. kashiwanohense APCKJ1 is upregulated during growth on 2'FL. Gene in Bifidobacterium pseudocatenulatum MP80 is upregulated during growth on 2'FL and LNFP I	27756904;31659215;34757822
HMO utilization	FumB2	FucU	L-fucose mutarotase-2 (EC 5.1.3.29)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 5.1.3.29	NA	Converts alpha-L-fucopyranose to beta-L-fucopyranose	NA	fig|391904.5.peg.2316	Blon_2305	predicted_previously	Function was suggested previously in the literature	33330584
HMO utilization	FumC2	FclA2	L-fuco-beta-pyranose dehydrogenase-2 (EC 1.1.1.122)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 1.1.1.122	NA	Converts beta-L-fucopyranose to L-fuconolactone	FucR	fig|326426.4.peg.1870	Bbr_1743	homology_with_characterized	52% amino acid sequence identity with characterized L-fucose dehydrogenase from Burkholderia multivorans	23214453
HMO utilization	FumD2	FclB2	L-fuconolactone hydrolase-2 (EC 3.1.1.-)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 3.1.1.-	NA	Predicted to convert L-fuconolactone to L-fuconate	FucR	fig|326426.4.peg.1868	Bbr_1741	predicted_previously	Function was suggested previously in the literature	33330584
HMO utilization	FumE2	FclC2	L-fuconate dehydratase-2 (EC 4.2.1.68)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 4.2.1.68	NA	Converts L-fuconate to 2-keto-3-deoxy-L-fuconate	FucR	fig|326426.4.peg.1872	Bbr_1744	homology_with_characterized	54% amino acid sequence identity with characterized L-fuconate dehydratase from Xanthomonas campestris pv. campestris	17144652
HMO utilization	FumF2	FclE2	2-keto-3-deoxy-L-fuconate aldolase-2 (EC 4.1.2.18)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 4.1.2.18	NA	Predicted to cleave 2-keto-3-deoxy-L-fuconate to pyruvate and L-lactaldehyde	FucR	fig|326426.4.peg.1867	Bbr_1740	predicted_previously	Function was suggested previously in the literature	33330584
HMO utilization	FucO	FumG	Lactaldehyde reductase (EC 1.1.1.77)	yes	2'FL;3FL;LDFT;LNFPI;lcFHMO	downstream_catabolism	EC 1.1.1.77	NA	Converts L-lactaldehyde to 1,2-propanediol	NA	fig|326426.4.peg.1611	Bbr_1505	homology_with_characterized	57% amino acid sequence identity with characterized lactaldehyde reductase from Escherichia coli	15995211
HMO utilization	NanA	NA	N-acetylneuraminate lyase (EC 4.1.3.3)	yes	SHMO	downstream_catabolism	EC 4.1.3.3	NA	Cleaves N-acetylneuraminic acid to N-acetylmannosamine and pyruvate	NanR or NanR2	fig|326426.4.peg.181	Bbr_0168	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003). Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on N-acetylneuraminic acid. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylneuraminic acid	24814790
HMO utilization	NanK	NA	N-acetylmannosamine kinase (EC 2.7.1.60)	yes	SHMO	downstream_catabolism	EC 2.7.1.60	NA	Phosphorylates N-acetylmannosamine to N-acetylmannosamine-6-phosphate	NanR or NanR2	fig|326426.4.peg.174	Bbr_0161	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003). Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on N-acetylneuraminic acid. Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylneuraminic acid	24814790
HMO utilization	NanE	NA	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	yes	SHMO	downstream_catabolism	EC 5.1.3.9	NA	Converts N-acetylmannosamine-6-phosphate to N-acetylglucosamine-6-phosphate	NanR or NanR2	fig|326426.4.peg.175	Bbr_0162	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003). Gene in Bifidobacterium breve UCC2003 is upregulated during growth on N-acetylneuraminic acid	24814790
HMO utilization	NagR	NA	Transcriptional regulator of GlcNAc, LNB/GNB, and HMO utilization (ROK family)	no	LNB;LNT;LNnT;lcFHMO;SHMO	regulator	ROK	NA	Represses multiple gene clusters involved in GlcNAc, LNB/GNB, LNT, LNnT, and other HMO (H1 cluster in Bl. infantis) utilization. Transcriptional effectors: GlcNAc, GlcNAc-1-phosphate, GlcNAc-6-phosphate	NagR	fig|326426.4.peg.1341;fig|391904.5.peg.883	Bbr_1249;Blon_0880	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003, Bifidobacterium longum subsp. infantis ATCC 15697)	29500268;36094076
HMO utilization	NahR	NA	Transcriptional regulator of LNnT utilization (ROK family)	no	LNnT	regulator	ROK	NA	Represses nahS. Transcriptional effector: GlcNAc	NahR	fig|326426.4.peg.1670	Bbr_1555	characterized_bifido	Biochemically characterized (Bifidobacterium breve UCC2003)	29500268
HMO utilization	FumR	FclR	Putative transcriptional regulator of fucosylated HMO utilization (LacI family)	no	2'FL;3FL;LDFT;LNFPI;lcFHMO	regulator	LacI	NA	Predicted to regulate the expression of the genes involved in the utilization of fucosylated HMOs	FumR	fig|1679.217.peg.672	BLNG_01254	predicted_previously	Function was suggested previously in the literature	35417188
N-glycan utilization	EndoBI1	EndoBI-1	Endo-beta-N-acetylglucosaminidase-1 (GH18)	no	Nglyc	CAZyme	GH18	extracellular	Cleaves the N,N′-diacetylchitobiose core of N-glycosylated proteins (RNaseB, lactoferrin from bovine/human milk, IgA, IgG), releasing complex and oligomannose N-glycans	MnaR	fig|391904.5.peg.2480	Blon_2468	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC 15697). Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on untreated bovine whey 	22745059
N-glycan utilization	EndoBI2	EndoBI-2	Endo-beta-N-acetylglucosaminidase-2 (GH18)	no	Nglyc	CAZyme	GH18	extracellular	Cleaves the N,N′-diacetylchitobiose core of N-glycosylated proteins (RNaseB, lactoferrin from bovine/human milk), releasing complex and oligomannose N-glycans	MnaR	fig|565040.3.peg.1342	BLIF_1310	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis SC142)	22745059
N-glycan utilization	EndoBB	Bl_Endo85	Endo-beta-N-acetylglucosaminidase (GH85)	no	Nglyc	CAZyme	GH85;CBM32	extracellular	Cleaves the N,N′-diacetylchitobiose core of N-glycosylated proteins (RNaseB, Man5GlcNAc2, Man9GlcNAc2, GlcMan9GlcNAc2; but not lactoferrin from bovine/human milk), releasing oligomannose N-glycans	MnaR	fig|205913.6.peg.218;fig|206672.9.peg.192	BLD_0197;BL1335	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum DJO10A, Bifidobacterium longum subsp. longum NCC2705)	22745059;36443572
N-glycan utilization	EndoBB2	NA	Putative endo-beta-N-acetylglucosaminidase (GH85)	no	Nglyc	CAZyme	GH85	extracellular	Predicted to cleave the N,N′-diacetylchitobiose core of N-glycosylated proteins, releasing N-glycans	MnaR	fig|1679.9.peg.1215	B8809_1132	predicted_previously	Function was suggested previously in the literature	22745059;36443572
N-glycan utilization	BlGlc31	BL1334	N-glycan alpha-glucosidase (GH31)	no	Nglyc	CAZyme	GH31	intracellular	Releases terminal alpha-1,3-linked glucopyranosyl (D-Glcp) residues from GlcMan9GlcNAc	MnaR	fig|206672.9.peg.191	BL1334	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	36443572
N-glycan utilization	Mna3	NA	Putative N-glycan glycoside hydrolase (GH3)	no	Nglyc	CAZyme	GH3	intracellular	Predicted to act on N-glycans	MnaR	fig|1350473.3.peg.109	BL171B_07125	predicted_previously	Function was suggested previously in the literature	36443572
N-glycan utilization	Man38	NA	Alpha-mannosidase (GH38)	no	Nglyc	CAZyme	GH38	intracellular	Predicted to release terminal alpha-mannopyranosyl (D-Manp) residues	NA	fig|1682.136.peg.419	BIFLH666_00398	predicted_new	NA	NA
N-glycan utilization	BlMan38A	BL1327	Alpha-1,2/3/6-mannosidase-1 (GH38)	no	Nglyc	CAZyme	GH38	intracellular	Releases terminal alpha-1,2/3/6-linked mannopyranosyl (D-Manp) residues from alpha-1,2/3/6-mannobiose. Has higher catalytic efficiency for alpha-1,6-mannobiose. Efficiently degrades oligomannose N-glycans (Man5GlcNAc)	MnaR	fig|206672.9.peg.183	BL1327	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	36443572
N-glycan utilization	BlMan38B	BL1328	Alpha-1,2/3/6-mannosidase-2 (GH38)	no	Nglyc	CAZyme	GH38	intracellular	Releases terminal alpha-1,2/3/6-linked mannopyranosyl (D-Manp) residues from alpha-1,2/3/6-mannobiose. Has higher catalytic efficiency for alpha-1,2-mannobiose. Efficiently degrades oligomannose N-glycans (Man5GlcNAc and Man9GlcNAc)	MnaR	fig|206672.9.peg.184	BL1328	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	36443572
N-glycan utilization	BlMan38C	BL1329	Alpha-1,2/3/6-mannosidase-3 (GH38)	no	Nglyc	CAZyme	GH38	intracellular	Releases terminal alpha-1,2/3/6-linked mannopyranosyl (D-Manp) residues from alpha-1,2/3/6-mannobiose. Has higher catalytic efficiency for alpha-1,2-mannobiose. Partially degrades oligomannose N-glycans (Man5GlcNAc and Man9GlcNAc)	MnaR	fig|206672.9.peg.185	BL1329	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	36443572
N-glycan utilization	BlMan125	BL1338	Alpha-1,6-mannosidase (GH125)	no	Nglyc	CAZyme	GH125	intracellular	Releases terminal alpha-1,6-linked mannopyranosyl (D-Manp) residues from alpha-1,6-mannobiose and oligomannose N-glycans 	MnaR	fig|206672.9.peg.195	BL1338	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	36443572
N-glycan utilization	BlMan5B	BL1333	N-glycan beta-mannosidase (GH5_18)	no	Nglyc	CAZyme	GH5_18	intracellular	Preferentially cleaves Man-b-1,4-GlcNAc disaccharide formed during the hydrolysis of N-glycans	MnaR	fig|206672.9.peg.190;fig|391904.5.peg.2392	BL1333;Blon_2377	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705, Bifidobacterium longum subsp. infantis ATCC 15697)	30641082;33764747
N-glycan utilization	ManI	BL1337	D-mannose isomerase (EC 5.3.1.7)	yes	Nglyc	downstream_catabolism	EC 5.3.1.7	NA	Converts D-mannose to D-fructose	MnbR OR MnaR	fig|206672.9.peg.194	BL1337	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum NCC2705)	36443572
N-glycan utilization	MnaA	BL1330	Putative N-glycan ABC transporter substrate-binding component (TC 3.A.1.1)	no	Nglyc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport N-glycans	MnaR	fig|206672.9.peg.187	BL1330	predicted_previously	Function was suggested previously in the literature	35417188;36443572
N-glycan utilization	MnaB	BL1331	Putative N-glycan ABC transporter permease component 1 (TC 3.A.1.1)	no	Nglyc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport N-glycans	MnaR	fig|206672.9.peg.188	BL1331	predicted_previously	Function was suggested previously in the literature	35417188;36443572
N-glycan utilization	MnaC	BL1332	Putative N-glycan ABC transporter permease component 2 (TC 3.A.1.1)	no	Nglyc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport N-glycans	MnaR	fig|206672.9.peg.189	BL1332	predicted_previously	Function was suggested previously in the literature	35417188;36443572
N-glycan utilization	MnaR	NA	Putative transcriptional regulator of N-glycan utilization (LacI family)	no	Nglyc	regulator	LacI	NA	Predicted to regulate the expression of genes involved in N-glycan utilization	MnaR	fig|206672.9.peg.193	BL1336	predicted_previously	Function was suggested previously in the literature	35417188
N-glycan utilization	BsAtsX	NA	Putative anaerobic N-glycan sulfatase (EC 3.1.6.1)	no	Nglyc	downstream_catabolism	EC 3.1.6.1	NA	Predicted to release sulfate groups from sulfated residues in complex N-glycans	MnaR	fig|1150461.5.peg.1891	BBSC_1808	predicted_new	NA	NA
N-glycan utilization	BsAtsY	NA	Putative anaerobic N-glycan sulfatase maturing enzyme	no	Nglyc	downstream_catabolism	NA	NA	Predicted to modify BsAtsX precursor	MnaR	fig|1150461.5.peg.1890	BBSC_1807	predicted_new	NA	NA
N-glycan utilization	BsFuc29	NA	Putative N-glycan alpha-L-fucosidase (GH29)	no	Nglyc	CAZyme	GH29	intracellular	Predicted to release terminal alpha-L-fucopyranosyl (L-Fucp) residues from complex N-glycans	NglR	fig|1150461.5.peg.1854	BBSC_1774	predicted_new	NA	NA
N-glycan utilization	Hex3	NA	Putative N-glycan beta-N-acetylglucosaminidase (GH20)	no	Nglyc	CAZyme	GH20	intracellular	Predicted to release terminal beta-1,2-linked GlcNAc residues from complex N-glycans	NglR	fig|1682.151.peg.947	BILO543B32D0_04580	predicted_previously	Function was suggested previously in the literature	35417188
N-glycan utilization	BiMan38	NA	Putative ngl-cluster alpha-mannosidase (GH38)	no	Nglyc	CAZyme	GH38	intracellular	Predicted to release terminal alpha-1,2/3/6-linked mannopyranosyl (D-Manp) residues from N-glycans	NglR	fig|1682.151.peg.943	BILO543B32D0_04560	homology_with_characterized	Paralog (55% amino acid sequence identity) of BlMan38B from Bifidobacterium longum subsp. longum NCC2705	35417188
N-glycan utilization	BsMan2	NA	Putative N-glycan beta-mannosidase (GH2)	no	Nglyc	CAZyme	GH2	intracellular	Predicted to cleave Man-b-1,4-GlcNAc dissacharide formed during the hydrolysis of N-glycans	NglR	fig|1150461.5.peg.1852	BBSC_1772	predicted_new	NA	NA
N-glycan utilization	BiMan5	BlMan5B*	Putative N-glycan beta-mannosidase (GH5_18)	no	Nglyc	CAZyme	GH5_18	intracellular	Predicted to cleave Man-b-1,4-GlcNAc dissacharide formed during the hydrolysis of N-glycans	NglR	fig|1682.151.peg.948	BILO543B32D0_04585	homology_with_characterized	Paralog (51% amino acid sequence identity) of BlMan5B from Bifidobacterium longum subsp. infantis ATCC15697	35417188
N-glycan utilization	NglA	NA	Putative complex N-glycan ABC transporter substrate-binding component (TC 3.A.1.1)	no	Nglyc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport complex N-glycans	NglR	fig|1682.151.peg.944	BILO543B32D0_04565	predicted_previously	Function was suggested previously in the literature	35417188
N-glycan utilization	NglB	NA	Putative complex N-glycan ABC transporter permease component 1 (TC 3.A.1.1)	no	Nglyc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport complex N-glycans	NglR	fig|1682.151.peg.945	BILO543B32D0_04570	predicted_previously	Function was suggested previously in the literature	35417188
N-glycan utilization	NglC	NA	Putative complex N-glycan ABC transporter permease component 2 (TC 3.A.1.1)	no	Nglyc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport complex N-glycans	NglR	fig|1682.151.peg.946	BILO543B32D0_04575	predicted_previously	Function was suggested previously in the literature	35417188
N-glycan utilization	NglR	NA	Putative transcriptional regulator of complex N-glycan utilization (ROK family)	no	Nglyc	regulator	ROK	NA	Predicted to regulate the expression of the ngl cluster	NglR	fig|1682.151.peg.949	BILO543B32D0_04590	predicted_previously	Function was suggested previously in the literature	35417188
N-glycan utilization	Hex1	Blon_0732	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)	yes	Nglyc	CAZyme	GH20	intracellular	Releases terminal beta-1,3/4/6-linked GlcNAc residues from lacto-N-triose II, diacetylchitobiose, LNH-derived pentasaccharide	NA	fig|391904.5.peg.725;fig|565042.3.peg.1443	Blon_0732;BLLJ_1391	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC 15697, Bifidobacterium longum subsp. longum JCM1217)	22579845;10.5458/jag.jag.JAG-2013_001
N-glycan utilization	NahA	Blon_0459	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)	yes	Nglyc	CAZyme	GH20	intracellular	Releases terminal beta-1,3/4/6-linked GlcNAc residues from lacto-N-triose II, diacetylchitobiose, LNH-derived pentasaccharide	NA	fig|391904.5.peg.458;fig|326426.4.peg.1671	Blon_0459;Bbr_1556	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC 15697, Bifidobacterium breve UCC2003; Bifidobacterium pseudocatenulatum MM0196). Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on LNT and LNnT	22579845;27929046;39315793
N-glycan utilization	AfcC	Blon_0248;Blon_0426	Alpha-1,6-L-fucosidase (GH29)	no	Ncore	CAZyme	GH29_A	intracellular	Releases terminal alpha-1,6-linked alpha-L-fucopyranosyl (L-Fucp) residues from Fuca1-6GlcNAcb1-Asn-peptide. Not active toward Fuca1-6(GlcNAcb1-4)GlcNAc	NA	fig|391904.5.peg.248;fig|391904.5.peg.428	Blon_0248;Blon_0426	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC 15697)	doi.org/10.5458/jag.jag.JAG-2019_0016
N-glycan utilization	AfcT	NA	Putative Fuc(a1-6)GlcNAc-peptide MFS permease (TC 2.A.1.68)	no	Ncore	transporter	TC 2.A.1.68	MFS Superfamily; Glucose Transporter (GT) Family	Predicted to transport Fuca1-6GlcNAcb1-Asn-peptide	NA	fig|391904.5.peg.247;fig|391904.5.peg.427	Blon_0247;Blon_0425	predicted_previously	Function was suggested previously in the literature	doi.org/10.5458/jag.jag.JAG-2019_0016
O-glycan utilization	LnpA	LNBP	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)	yes	GNB;Tan;Muc	CAZyme	GH112;EC 2.4.1.211	intracellular	Catalyzes the phosphorolysis of lacto-N-biose/galacto-N-biose to N-acetylglucosamine/N-acetylgalactosamine and galactose-1-phosphate	NagR	fig|565042.3.peg.1679	BLLJ_1623	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum JCM1217). Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNnT	15933016;36094076
O-glycan utilization	LnpB	NahK	N-acetylhexosamine 1-kinase (EC 2.7.1.162)	yes	GalNAc;GNB;Tan;Muc	downstream_catabolism	EC 2.7.1.162	NA	Phosphorylates (i) N-acetylglucosamine to N-acetylglucosamine-1-phosphate; (ii) N-acetylgalactosamine to N-acetylgalactosamine-1-phosphate	NagR	fig|565042.3.peg.1678	BLLJ_1622	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum JCM1217). Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNnT	17720833;36094076
O-glycan utilization	LnpC	GalT2	UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12) 	yes	GalNAc;GNB;Tan;Muc	downstream_catabolism	EC 2.7.7.12	NA	Catalyzes the reaction: UDP-glucose + N-acetylgalactosamine-1-phosphate/N-acetylglucosamine-1-phosphate <> glucose-1-phosphate + UDP-N-acetylgalactosamine/UDP-N-acetylglucosamine	NagR	fig|565042.3.peg.1677;fig|702459.3.peg.1086	BLLJ_1621;BBPR_1051	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum JCM1217, Bifidobacterium bifidum PRL2010). Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNnT	17720833;24014529;36094076
O-glycan utilization	LnpD	NA	UDP-hexose 4-epimerase (EC 5.1.3.2)	yes	GalNAc;GNB;Tan;Muc	downstream_catabolism	EC 5.1.3.2	NA	Reversibly catalyzes the conversion of (i) UDP-N-acetylgalactosamine to UDP-N-acetylglucosamine; (ii) UDP-galactose to UDP-glucose	NagR	fig|565042.3.peg.1676	BLLJ_1620	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum JCM1217). Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNnT	17720833;36094076
O-glycan utilization	GltA	LnbA	Lacto-N-biose/galacto-N-biose ABC transporter-1 substrate-binding component (TC 3.A.1.1.48)	yes	GNB;Tan;Muc	transporter	TC 3.A.1.1.48	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Binds lacto-N-biose and galacto-N-biose in vitro	NagR	fig|565042.3.peg.1682	BLLJ_1626	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. longum JCM1217, Bifidobacterium longum subsp. longum SC596)	18332142;21423604;27756904
O-glycan utilization	GltB	LnbB	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 1 (TC 3.A.1.1.48)	yes	GNB;Tan;Muc	transporter	TC 3.A.1.1.48	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Likely transports lacto-N-biose and galacto-N-biose	NagR	fig|565042.3.peg.1681	BLLJ_1625	predicted_previously	Function was suggested previously in the literature	18332142;21423604;27756904
O-glycan utilization	GltC	LnbB	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 2 (TC 3.A.1.1.48)	yes	GNB;Tan;Muc	transporter	TC 3.A.1.1.48	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Likely transports lacto-N-biose and galacto-N-biose	NagR	fig|565042.3.peg.1680	BLLJ_1624	predicted_previously	Function was suggested previously in the literature	18332142;21423604;27756904
O-glycan utilization	GltF	Blon_0883	Lacto-N-biose/galacto-N-biose ABC transporter-2 substrate-binding component (TC 3.A.1.1)	yes	GNB;Tan;Muc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Transports lacto-N-biose, galacto-N-biose, H1 and Lewis a trisaccharides	NagR	fig|391904.5.peg.886	Blon_0883	characterized_bifido	Biochemically characterized (Bifidobacterium longum subsp. infantis ATCC 15697). Knockout of the gene abolishes the consumption of Lewis a trisaccharide by Bifidobacterium longum subsp. infantis ATCC 15697. Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNT and LNnT	21423604;29900174;;27756904;36094076;10.1101/2025.02.07.637197
O-glycan utilization	GltG	Blon_0884	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 1 (TC 3.A.1.1)	yes	GNB;Tan;Muc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Transports lacto-N-biose, galacto-N-biose, H1 and Lewis a trisaccharides	NagR	fig|391904.5.peg.887	Blon_0884	characterized_bifido	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNT and LNnT	29900174;36094076;10.1101/2025.02.07.637197
O-glycan utilization	GltH	Blon_0885	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 2 (TC 3.A.1.1)	yes	GNB;Tan;Muc	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Transports lacto-N-biose, galacto-N-biose, H1 and Lewis a trisaccharides	NagR	fig|391904.5.peg.888	Blon_0885	characterized_bifido	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated during growth on LNT and LNnT	29900174;36094076;10.1101/2025.02.07.637197
O-glycan utilization	AgaBb	NA	Extracellular alpha-1,3-galactosidase (GH110)	no	Muc	CAZyme	GH110;CBM51	extracellular	Releases terminal alpha-1,3-linked galactopyranosyl (D-Galp) residues from B antigen, group B/AB mucin O-glycans	NagR	fig|702459.3.peg.1346	BBPR_1300	characterized_bifido	Biochemically characterized (Bifidobacterium bifidum JCM1254)	23089618
O-glycan utilization	BbgIII	NA	Extracellular beta-1,4-galactosidase (GH2)	yes	Muc	CAZyme	GH2;CBM32	extracellular	Releases terminal beta-1,4-linked galactopyranosyl (D-Galp) residues from LNnT, LacNAc, and LNH. Has approximately 1000-fold lower activity toward lactose; not active toward lacto-N-biose, LNT, 3FL, LNFP III	NagR	fig|702459.3.peg.500	BBPR_0482	characterized_bifido	Biochemically characterized (Bifidobacterium bifidum JCM1254)	20581010
O-glycan utilization	AgnB	NA	Extracellular alpha-N-acetylglucosaminidase (GH89)	no	Muc	CAZyme	GH89;CBM32	extracellular	Releases terminal alpha-1,4-linked GlcNAc residues from mucin O-glycans	NagR	fig|702459.3.peg.1556	BBPR_1503	characterized_bifido	Biochemically characterized (Bifidobacterium bifidum JCM1254)	25381911
O-glycan utilization	BbhI	NA	Extracellular beta-1,3-N-acetylglucosaminidase (GH20)	yes	Muc	CAZyme	GH20;CBM32	extracellular	Releases terminal beta-1,3-linked GlcNAc residues from lacto-N-triose II and core 3 structure mucin O-glycans	NA	fig|702459.3.peg.1583	BBPR_1529	characterized_bifido	Biochemically characterized (Bifidobacterium bifidum JCM1254). Gene in Bifidobacterium bifidum JCM 1254 is upregulated during growth on mucin	20581010;37146969
O-glycan utilization	BbhII	NA	Extracellular 6-sulfo-beta-N-acetylglucosaminidase (GH20)	no	Muc	CAZyme	GH20;CBM32	extracellular	Releases terminal beta-1,6-linked GlcNAc-6-sulfate residues from core 2 structure mucin O-glycans	NagR	fig|702459.3.peg.1050	BBPR_1018	characterized_bifido	Biochemically characterized (Bifidobacterium bifidum JCM1254). Gene in Bifidobacterium bifidum JCM 1254 is upregulated during growth on mucin	28814130
